lead_id,nome,pipeline_id,status_id,etapa,tags
53165257,Lead #53165257,13257796,143,Venda perdida,
61527845,Lead #61527845,13257796,103047280,Efetivou Anual,
61624533,Lead #61624533,13257796,102232088,Apresentando,
59089793,Lead #59089793,13257796,102232084,degustação ativo,
58838401,Lead #58838401,13257796,102232084,degustação ativo,
60655531,Lead #60655531,13257796,102232084,degustação ativo,
61600975,Lead #61600975,13257796,102232088,Apresentando,
61585757,Lead #61585757,13257796,102232088,Apresentando,
61523349,Lead #61523349,13257796,102232084,degustação ativo,
61517273,Lead #61517273,13257796,102232092,Follow-up,
61497297,Lead #61497297,13257796,102232092,Follow-up,
61439437,Lead #61439437,13257796,102232092,Follow-up,
61531013,Lead #61531013,13257796,102232084,degustação ativo,
61659891,Lead #61659891,13257796,107834232,Muito quente,
57959895,Lead #57959895,13257796,103047280,Efetivou Anual,
61241261,Lead #61241261,13257796,102232084,degustação ativo,
60462941,Lead #60462941,13257796,102232084,degustação ativo,
58020753,Lead #58020753,13257796,102232084,degustação ativo,
